"Gene_symbol"	"   Genes"	"Freq"
"CTRC"	"chymotrypsin C"	"1"
"CTRL"	"chymotrypsin like"	"1"
"CXCL3"	"C-X-C motif chemokine ligand 3"	"1"
"CXCL9"	"C-X-C motif chemokine ligand 9"	"1"
"CYP2B6"	"cytochrome P450 family 2 subfamily B member 6"	"1"
"CYP2J2"	"cytochrome P450 family 2 subfamily J member 2"	"1"
"CYP3A7"	"cytochrome P450 family 3 subfamily A member 7"	"1"
"CYP24A1"	"cytochrome P450 family 24 subfamily A member 1"	"1"
"CYP26A1"	"cytochrome P450 family 26 subfamily A member 1"	"1"
"CYP26B1"	"cytochrome P450 family 26 subfamily B member 1"	"1"
"DDB2"	"damage specific DNA binding protein 2"	"1"
"DEFA1"	"defensin alpha 1"	"1"
"DIO2"	"iodothyronine deiodinase 2"	"1"
"DKC1"	"dyskerin pseudouridine synthase 1"	"1"
"DLL4"	"delta like canonical Notch ligand 4"	"1"
"DMPK"	"DM1 protein kinase"	"1"
"DPP6"	"dipeptidyl peptidase like 6"	"1"
"DSCAM"	"DS cell adhesion molecule"	"1"
"DST"	"dystonin"	"1"
"DTL"	"denticleless E3 ubiquitin protein ligase homolog"	"1"
"DTNB"	"dystrobrevin beta"	"1"
"DUSP1"	"dual specificity phosphatase 1"	"1"
"E2F1"	"E2F transcription factor 1"	"1"
"EED"	"embryonic ectoderm development"	"1"
"EIF1AY"	"eukaryotic translation initiation factor 1A Y-linked"	"1"
"EIF2B1"	"eukaryotic translation initiation factor 2B subunit alpha"	"1"
"EIF4E"	"eukaryotic translation initiation factor 4E"	"1"
"ENTPD1"	"ectonucleoside triphosphate diphosphohydrolase 1"	"1"
"EP300"	"E1A binding protein p300"	"1"
"EPOR"	"erythropoietin receptor"	"1"
"ERAS"	"ES cell expressed Ras"	"1"
"ERBB3"	"erb-b2 receptor tyrosine kinase 3"	"1"
"ERCC1"	"ERCC excision repair 1, endonuclease non-catalytic subunit"	"1"
"ERCC6"	"ERCC excision repair 6, chromatin remodeling factor"	"1"
"ETS1"	"ETS proto-oncogene 1, transcription factor"	"1"
"EXT1"	"exostosin glycosyltransferase 1"	"1"
"F12"	"coagulation factor XII"	"1"
"FANCD2"	"FA complementation group D2"	"1"
"FAP"	"fibroblast activation protein alpha"	"1"
"FBLN1"	"fibulin 1"	"1"
"FBXO45"	"F-box protein 45"	"1"
"FCER1G"	"Fc fragment of IgE receptor Ig"	"1"
"FCGBP"	"Fc fragment of IgG binding protein"	"1"
"FGD3"	"FYVE, RhoGEF and PH domain containing 3"	"1"
"FGD6"	"FYVE, RhoGEF and PH domain containing 6"	"1"
"FGF18"	"fibroblast growth factor 18"	"1"
"FGFR3"	"fibroblast growth factor receptor 3"	"1"
"FKBP1A"	"FKBP prolyl isomerase 1A"	"1"
"FLG"	"filaggrin"	"1"
"FOLR1"	"folate receptor alpha"	"1"
"FOSB"	"FosB proto-oncogene, AP-1 transcription factor subunit"	"1"
"FOXA1"	"forkhead box A1"	"1"
"FOXO3"	"forkhead box O3"	"1"
"FST"	"follistatin"	"1"
"FTL"	"ferritin light chain"	"1"
"GABBR2"	"gamma-aminobutyric acid type B receptor subunit 2"	"1"
"GADD45B"	"growth arrest and DNA damage inducible beta"	"1"
"GADD45G"	"growth arrest and DNA damage inducible gamma"	"1"
"GATA4"	"GATA binding protein 4"	"1"
"GBGT1"	"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)"	"1"
"GDF9"	"growth differentiation factor 9"	"1"
"GEM"	"GTP binding protein overexpressed in skeletal muscle"	"1"
"GNAS"	"GNAS complex locus"	"1"
"GPLD1"	"glycosylphosphatidylinositol specific phospholipase D1"	"1"
"GPX3"	"glutathione peroxidase 3"	"1"
"GRP"	"gastrin releasing peptide"	"1"
"GSTA1"	"glutathione S-transferase alpha 1"	"1"
"GSTZ1"	"glutathione S-transferase zeta 1"	"1"
"GTF3C5"	"general transcription factor IIIC subunit 5"	"1"
"HAS3"	"hyaluronan synthase 3"	"1"
"HEY1"	"hes related family bHLH transcription factor with YRPW motif 1"	"1"
"HLA-B"	"major histocompatibility complex, class I, B"	"1"
"HMCN1"	"hemicentin 1"	"1"
"HNF4A"	"hepatocyte nuclear factor 4 alpha"	"1"
"HOXA1"	"homeobox A1"	"1"
"HOXA3"	"homeobox A3"	"1"
"HOXC4"	"homeobox C4"	"1"
"HOXD3"	"homeobox D3"	"1"
"HPGD"	"15-hydroxyprostaglandin dehydrogenase"	"1"
"HPGDS"	"hematopoietic prostaglandin D synthase"	"1"
"HPRT1"	"hypoxanthine phosphoribosyltransferase 1"	"1"
"HSD3B1"	"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"	"1"
"HSD11B1"	"hydroxysteroid 11-beta dehydrogenase 1"	"1"
"HYAL1"	"hyaluronidase 1"	"1"
"HYAL2"	"hyaluronidase 2"	"1"
"ID3"	"inhibitor of DNA binding 3, HLH protein"	"1"
"IFNA1"	"interferon alpha 1"	"1"
"IFNB1"	"interferon beta 1"	"1"
"IGFBP5"	"insulin like growth factor binding protein 5"	"1"
"IGKC"	"immunoglobulin kappa constant"	"1"
"IL1RL1"	"interleukin 1 receptor like 1"	"1"
"IL2"	"interleukin 2"	"1"
"IL2RG"	"interleukin 2 receptor subunit gamma"	"1"
"IL5"	"interleukin 5"	"1"
"IL16"	"interleukin 16"	"1"
"IL18"	"interleukin 18"	"1"
"INS-IGF2"	"INS-IGF2 readthrough"	"1"
"IPW"	"imprinted in Prader-Willi syndrome"	"1"
"IRAK4"	"interleukin 1 receptor associated kinase 4"	"1"
"ITGA6"	"integrin subunit alpha 6"	"1"
"ITGB5"	"integrin subunit beta 5"	"1"
"ITGB7"	"integrin subunit beta 7"	"1"
"ITIH4"	"inter-alpha-trypsin inhibitor heavy chain 4"	"1"
"IVL"	"involucrin"	"1"
"JAK1"	"Janus kinase 1"	"1"
"JUP"	"junction plakoglobin"	"1"
"KIF3A"	"kinesin family member 3A"	"1"
"KIF5B"	"kinesin family member 5B"	"1"
"KIF20A"	"kinesin family member 20A"	"1"
"KLRK1"	"killer cell lectin like receptor K1"	"1"
"KRT19"	"keratin 19"	"1"
"LAG3"	"lymphocyte activating 3"	"1"
"LAMC2"	"laminin subunit gamma 2"	"1"
"LATS2"	"large tumor suppressor kinase 2"	"1"
"LDHA"	"lactate dehydrogenase A"	"1"
"LDHB"	"lactate dehydrogenase B"	"1"
"LGALS3BP"	"galectin 3 binding protein"	"1"
"LGALS9"	"galectin 9"	"1"
"LGMN"	"legumain"	"1"
"LINC02183"	"long intergenic non-protein coding RNA 2183"	"1"
"LPAR2"	"lysophosphatidic acid receptor 2"	"1"
"LPAR4"	"lysophosphatidic acid receptor 4"	"1"
"LPAR5"	"lysophosphatidic acid receptor 5"	"1"
"LTF"	"lactotransferrin"	"1"
"LYVE1"	"lymphatic vessel endothelial hyaluronan receptor 1"	"1"
"MACROD2"	"mono-ADP ribosylhydrolase 2"	"1"
"MAL"	"mal, T cell differentiation protein"	"1"
"MALRD1"	"MAM and LDL receptor class A domain containing 1"	"1"
"MAP2"	"microtubule associated protein 2"	"1"
"MAP4"	"microtubule associated protein 4"	"1"
"MAPK1"	"mitogen-activated protein kinase 1"	"1"
"MAPK6"	"mitogen-activated protein kinase 6"	"1"
"MAPK8"	"mitogen-activated protein kinase 8"	"1"
"MAPK14"	"mitogen-activated protein kinase 14"	"1"
"MCAM"	"melanoma cell adhesion molecule"	"1"
"MCCC2"	"methylcrotonoyl-CoA carboxylase 2"	"1"
"MCM2"	"minichromosome maintenance complex component 2"	"1"
"MDC1"	"mediator of DNA damage checkpoint 1"	"1"
"MDM4"	"MDM4 regulator of p53"	"1"
"MEG3"	"maternally expressed 3"	"1"
"MEP1B"	"meprin A subunit beta"	"1"
"METTL3"	"methyltransferase like 3"	"1"
"MFGE8"	"milk fat globule EGF and factor V/VIII domain containing"	"1"
"MFN2"	"mitofusin 2"	"1"
"MFSD14B"	"major facilitator superfamily domain containing 14B"	"1"
"MGST1"	"microsomal glutathione S-transferase 1"	"1"
"MICE"	"MHC class I polypeptide-related sequence E (pseudogene)"	"1"
"MIMT1"	"MER1 repeat containing imprinted transcript 1"	"1"
"MIR100"	"microRNA 100"	"1"
"MMP14"	"matrix metallopeptidase 14"	"1"
"MMP19"	"matrix metallopeptidase 19"	"1"
"MTHFD1"	"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"	"1"
"MTRR"	"5-methyltetrahydrofolate-homocysteine methyltransferase reductase"	"1"
"MXRA7"	"matrix remodeling associated 7"	"1"
"MYB"	"MYB proto-oncogene, transcription factor"	"1"
"MYD88"	"MYD88 innate immune signal transduction adaptor"	"1"
"NAA15"	"N-alpha-acetyltransferase 15, NatA auxiliary subunit"	"1"
"NAIP"	"NLR family apoptosis inhibitory protein"	"1"
"NCAM1"	"neural cell adhesion molecule 1"	"1"
"NDN"	"necdin, MAGE family member"	"1"
"NDUFS1"	"NADH:ubiquinone oxidoreductase core subunit S1"	"1"
"NEAT1"	"nuclear paraspeckle assembly transcript 1"	"1"
"NEB"	"nebulin"	"1"
"NES"	"nestin"	"1"
"NLGN4Y"	"neuroligin 4 Y-linked"	"1"
"NOTCH4"	"notch receptor 4"	"1"
"NQO2"	"N-ribosyldihydronicotinamide:quinone reductase 2"	"1"
"NR1H4"	"nuclear receptor subfamily 1 group H member 4"	"1"
"NR2F2"	"nuclear receptor subfamily 2 group F member 2"	"1"
"NRF1"	"nuclear respiratory factor 1"	"1"
"NRM"	"nurim"	"1"
"NRXN1"	"neurexin 1"	"1"
"NT5E"	"5'-nucleotidase ecto"	"1"
"NUMA1"	"nuclear mitotic apparatus protein 1"	"1"
"OGG1"	"8-oxoguanine DNA glycosylase"	"1"
"OLFM4"	"olfactomedin 4"	"1"
"OPRM1"	"opioid receptor mu 1"	"1"
"P2RX3"	"purinergic receptor P2X 3"	"1"
"P2RX7"	"purinergic receptor P2X 7"	"1"
"PAK1"	"p21 (RAC1) activated kinase 1"	"1"
"PALLD"	"palladin, cytoskeletal associated protein"	"1"
"PAPPA"	"pappalysin 1"	"1"
"PARP1P2"	"poly(ADP-ribose) polymerase 1 pseudogene 2"	"1"
"PARVG"	"parvin gamma"	"1"
"PCDHB9"	"protocadherin beta 9"	"1"
"PCYT1A"	"phosphate cytidylyltransferase 1, choline, alpha"	"1"
"PDC"	"phosducin"	"1"
"PDE4DIP"	"phosphodiesterase 4D interacting protein"	"1"
"PDGFA"	"platelet derived growth factor subunit A"	"1"
"PECAM1"	"platelet and endothelial cell adhesion molecule 1"	"1"
"PEPE"	"peptidase E"	"1"
"PER1"	"period circadian regulator 1"	"1"
"PGM1"	"phosphoglucomutase 1"	"1"
"PIK3C2A"	"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha"	"1"
"PIK3R1"	"phosphoinositide-3-kinase regulatory subunit 1"	"1"
"PIM2"	"Pim-2 proto-oncogene, serine/threonine kinase"	"1"
"PITX3"	"paired like homeodomain 3"	"1"
"PKP4"	"plakophilin 4"	"1"
"PLA2G4A"	"phospholipase A2 group IVA"	"1"
"PLAU"	"plasminogen activator, urokinase"	"1"
"PLTP"	"phospholipid transfer protein"	"1"
"PML"	"PML nuclear body scaffold"	"1"
"PODXL"	"podocalyxin like"	"1"
"POLR2G"	"RNA polymerase II subunit G"	"1"
"POMC"	"proopiomelanocortin"	"1"
"PON3"	"paraoxonase 3"	"1"
"POP4"	"POP4 homolog, ribonuclease P/MRP subunit"	"1"
"PPL"	"periplakin"	"1"
"PPP1R14B"	"protein phosphatase 1 regulatory inhibitor subunit 14B"	"1"
"PRDX1"	"peroxiredoxin 1"	"1"
"PRELP"	"proline and arginine rich end leucine rich repeat protein"	"1"
"PRKDC"	"protein kinase, DNA-activated, catalytic subunit"	"1"
"PRMT2"	"protein arginine methyltransferase 2"	"1"
"PROP1"	"PROP paired-like homeobox 1"	"1"
"PSAP"	"prosaposin"	"1"
"PSEN2"	"presenilin 2"	"1"
"PTGER1"	"prostaglandin E receptor 1"	"1"
"PTGFR"	"prostaglandin F receptor"	"1"
"PTGR1"	"prostaglandin reductase 1"	"1"
"PTK2"	"protein tyrosine kinase 2"	"1"
"PTOV1"	"PTOV1 extended AT-hook containing adaptor protein"	"1"
"PTPN1"	"protein tyrosine phosphatase non-receptor type 1"	"1"
"PTPRC"	"protein tyrosine phosphatase receptor type C"	"1"
"PVR"	"PVR cell adhesion molecule"	"1"
"PXK"	"PX domain containing serine/threonine kinase like"	"1"
"RALGAPA1"	"Ral GTPase activating protein catalytic subunit alpha 1"	"1"
"RARB"	"retinoic acid receptor beta"	"1"
"RARRES1"	"retinoic acid receptor responder 1"	"1"
"RARRES2"	"retinoic acid receptor responder 2"	"1"
"RASSF1"	"Ras association domain family member 1"	"1"
"RECK"	"reversion inducing cysteine rich protein with kazal motifs"	"1"
"REN"	"renin"	"1"
"RGL2"	"ral guanine nucleotide dissociation stimulator like 2"	"1"
"RHEB"	"Ras homolog, mTORC1 binding"	"1"
"RHO"	"rhodopsin"	"1"
"RNF213"	"ring finger protein 213"	"1"
"ROCK2"	"Rho associated coiled-coil containing protein kinase 2"	"1"
"RP1"	"RP1 axonemal microtubule associated"	"1"
"RPL19"	"ribosomal protein L19"	"1"
"RPL41"	"ribosomal protein L41"	"1"
"RRM2"	"ribonucleotide reductase regulatory subunit M2"	"1"
"RXFP1"	"relaxin family peptide receptor 1"	"1"
"RXRA"	"retinoid X receptor alpha"	"1"
"SAMD9"	"sterile alpha motif domain containing 9"	"1"
"SAV1"	"salvador family WW domain containing protein 1"	"1"
"SCN3B"	"sodium voltage-gated channel beta subunit 3"	"1"
"SERPINA3"	"serpin family A member 3"	"1"
"SERPINB2"	"serpin family B member 2"	"1"
"SERPINB5"	"serpin family B member 5"	"1"
"SERPING1"	"serpin family G member 1"	"1"
"SGCZ"	"sarcoglycan zeta"	"1"
"SGPP1"	"sphingosine-1-phosphate phosphatase 1"	"1"
"SGPP2"	"sphingosine-1-phosphate phosphatase 2"	"1"
"SIRT4"	"sirtuin 4"	"1"
"SLC2A5"	"solute carrier family 2 member 5"	"1"
"SLC3A1"	"solute carrier family 3 member 1"	"1"
"SLC16A5"	"solute carrier family 16 member 5"	"1"
"SMAD1"	"SMAD family member 1"	"1"
"SMAP2"	"small ArfGAP2"	"1"
"SMARCA2"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	"1"
"SMARCB1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	"1"
"SMARCD1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"	"1"
"SMOC2"	"SPARC related modular calcium binding 2"	"1"
"SNAI1"	"snail family transcriptional repressor 1"	"1"
"SNAPC2"	"small nuclear RNA activating complex polypeptide 2"	"1"
"SNHG22"	"small nucleolar RNA host gene 22"	"1"
"SNTN"	"sentan, cilia apical structure protein"	"1"
"SOHLH2"	"spermatogenesis and oogenesis specific basic helix-loop-helix 2"	"1"
"SP2"	"Sp2 transcription factor"	"1"
"SP3"	"Sp3 transcription factor"	"1"
"SP6"	"Sp6 transcription factor"	"1"
"SPINT1"	"serine peptidase inhibitor, Kunitz type 1"	"1"
"SRD5A2"	"steroid 5 alpha-reductase 2"	"1"
"SRY"	"sex determining region Y"	"1"
"SSH1"	"slingshot protein phosphatase 1"	"1"
"SSTR2"	"somatostatin receptor 2"	"1"
"ST6GALNAC1"	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"	"1"
"STRA8"	"stimulated by retinoic acid 8"	"1"
"SULT2B1"	"sulfotransferase family 2B member 1"	"1"
"SUV39H2"	"suppressor of variegation 3-9 homolog 2"	"1"
"SYNE1"	"spectrin repeat containing nuclear envelope protein 1"	"1"
"TACR2"	"tachykinin receptor 2"	"1"
"TCF7L2"	"transcription factor 7 like 2"	"1"
"TFAM"	"transcription factor A, mitochondrial"	"1"
"TFAP2C"	"transcription factor AP-2 gamma"	"1"
"TFF1"	"trefoil factor 1"	"1"
"TGFB2"	"transforming growth factor beta 2"	"1"
"TGFBI"	"transforming growth factor beta induced"	"1"
"TGFBR2"	"transforming growth factor beta receptor 2"	"1"
"TGIF2LY"	"TGFB induced factor homeobox 2 like Y-linked"	"1"
"THY1"	"Thy-1 cell surface antigen"	"1"
"TIRAP"	"TIR domain containing adaptor protein"	"1"
"TLR7"	"toll like receptor 7"	"1"
"TLR8"	"toll like receptor 8"	"1"
"TMOD3"	"tropomodulin 3"	"1"
"TNC"	"tenascin C"	"1"
"TNFAIP3"	"TNF alpha induced protein 3"	"1"
"TNFRSF25"	"TNF receptor superfamily member 25"	"1"
"TNFSF10"	"TNF superfamily member 10"	"1"
"TNIP2"	"TNFAIP3 interacting protein 2"	"1"
"TOLLIP"	"toll interacting protein"	"1"
"TPM2"	"tropomyosin 2"	"1"
"TPM3"	"tropomyosin 3"	"1"
"TRAF2"	"TNF receptor associated factor 2"	"1"
"TRAF6"	"TNF receptor associated factor 6"	"1"
"TRG"	"T cell receptor gamma locus"	"1"
"TRIM36"	"tripartite motif containing 36"	"1"
"TRPM6"	"transient receptor potential cation channel subfamily M member 6"	"1"
"TSC2"	"TSC complex subunit 2"	"1"
"TSPY3"	"testis specific protein Y-linked 3"	"1"
"TTC28"	"tetratricopeptide repeat domain 28"	"1"
"TTC39B"	"tetratricopeptide repeat domain 39B"	"1"
"TTR"	"transthyretin"	"1"
"TTTY4C"	"testis-specific transcript, Y-linked 4C"	"1"
"TTTY5"	"testis-specific transcript, Y-linked 5"	"1"
"TTTY8"	"testis-specific transcript, Y-linked 8"	"1"
"TTTY9A"	"testis-specific transcript, Y-linked 9A"	"1"
"TTTY10"	"testis-specific transcript, Y-linked 10"	"1"
"TTTY14"	"testis-specific transcript, Y-linked 14"	"1"
"TTTY21"	"testis-specific transcript, Y-linked 21"	"1"
"TTTY22"	"testis-specific transcript, Y-linked 22"	"1"
"TXNRD1"	"thioredoxin reductase 1"	"1"
"UBA52"	"ubiquitin A-52 residue ribosomal protein fusion product 1"	"1"
"UBE3A"	"ubiquitin protein ligase E3A"	"1"
"UGT2B7"	"UDP glucuronosyltransferase family 2 member B7"	"1"
"UGT2B28"	"UDP glucuronosyltransferase family 2 member B28"	"1"
"UNC5B"	"unc-5 netrin receptor B"	"1"
"UNC5C"	"unc-5 netrin receptor C"	"1"
"USP7"	"ubiquitin specific peptidase 7"	"1"
"USP17L2"	"ubiquitin specific peptidase 17 like family member 2"	"1"
"USP18"	"ubiquitin specific peptidase 18"	"1"
"VCL"	"vinculin"	"1"
"VCY"	"variable charge Y-linked"	"1"
"VLDLR"	"very low density lipoprotein receptor"	"1"
"WAS"	"WASP actin nucleation promoting factor"	"1"
"WEE1"	"WEE1 G2 checkpoint kinase"	"1"
"WIF1"	"WNT inhibitory factor 1"	"1"
"WNK1"	"WNK lysine deficient protein kinase 1"	"1"
"WNT1"	"Wnt family member 1"	"1"
"WNT2"	"Wnt family member 2"	"1"
"WNT5A"	"Wnt family member 5A"	"1"
"XCL1"	"X-C motif chemokine ligand 1"	"1"
"XIST"	"X inactive specific transcript"	"1"
"YTHDF2"	"YTH N6-methyladenosine RNA binding protein 2"	"1"
"YTHDF3"	"YTH N6-methyladenosine RNA binding protein 3"	"1"
"YY1"	"YY1 transcription factor"	"1"
"ZFAT"	"zinc finger and AT-hook domain containing"	"1"
"ZFY"	"zinc finger protein Y-linked"	"1"
"ZNF703"	"zinc finger protein 703"	"1"
"ZNHIT2"	"zinc finger HIT-type containing 2"	"1"
